timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_vel_x,linear_vel_y,angular_vel_z
35.157,0.0313468426432026,0.0007557885212725229,0.07499999702905848,-5.625048216567761e-08,-6.773419906201464e-10,0.00014636352458359073,0.9999999892888577,0.0005303947777989501,3.375250751325858e-05,-0.00011044218460799294
35.177,0.03135924525396947,0.0007564727658286494,0.07499504026624638,-1.1604468009380692e-07,-1.2398812240327923e-05,0.00014549173767311802,0.9999999893392051,0.0037662668336027726,4.9600860689142894e-05,-0.0002425906179557059
35.197,0.03137516915772895,0.0007568124419059859,0.0749999997423359,-1.5617299254408635e-08,4.85855625166848e-11,0.00014587697608006153,0.9999999893599538,1.8973507347179e-07,4.7923392328128964e-05,-4.4182050501617636e-05
35.217,0.03140078356041038,0.0007571415410112905,0.0749999997748464,-7.909241185481285e-08,6.135027300714295e-11,0.00014640109884008,0.9999999892833561,0.00046212168899428823,4.361024913979155e-05,-0.0002730937267739397
35.237,0.03141707430487223,0.0007578497230486428,0.07499941914866813,-1.4597134901008676e-07,-1.4515332596018294e-06,0.0001457232362861726,0.999999989381305,0.0037817739583676075,4.457569286591214e-05,-2.052392042832747e-05
35.257,0.03142813187608719,0.0007581518956038722,0.07499999968870302,4.993039365720065e-08,4.0850392963000296e-11,0.0001460294638922876,0.9999999893376965,-1.3678115673665872e-05,6.5267663196252825e-06,-0.0001333619704166658
35.277,0.031454337321778034,0.0007584267661869487,0.07499999968986062,-1.0850950486401225e-07,6.50389050151744e-13,0.00014660597052554652,0.9999999892533389,0.0002409316180424998,5.31304155358819e-06,-0.0002422321655294661
35.297,0.031473117058520496,0.0007591890709379116,0.07499999975627203,-1.360356931595061e-07,5.947330394593468e-11,0.00014608425586077407,0.9999999893296859,0.0016587332330606265,2.3442280405905767e-05,0.00015196198015790844
35.317,0.03148109068061908,0.0007594910018451135,0.07499999772905085,-2.9258249674409617e-08,5.691210657400445e-09,0.00014625652873142547,0.9999999893045135,-1.0586058563885832e-05,5.300281903694629e-05,-1.1919444704145398e-05
35.337,0.03150749925517076,0.0007598350019627794,0.07499999974233826,-2.5039644295114577e-08,4.7425980748952375e-11,0.00014670902691664884,0.9999999892382304,8.914462388152486e-05,5.533332892547074e-05,-0.0001305723871955253
35.357,0.031529142415494295,0.000760395189960483,0.07499999976368138,-1.2464367785828134e-07,4.734352460476932e-11,0.00014670696622812925,0.9999999892385253,0.001496504804116346,-3.208184080866059e-05,0.00027496601170976697
35.377,0.031536412993921153,0.0007608788822956545,0.07499999881655038,-8.233736504902417e-08,5.623180624087667e-09,0.00014664873842938037,0.9999999892470703,0.0005798699628886102,-2.2295366740169735e-06,-0.00022298486380341147
35.398,0.03156058053675331,0.0007611932481248593,0.07499999965403296,4.397111905732963e-08,-2.652226093898825e-10,0.00014677836903898215,0.9999999892280542,2.8970583531747715e-05,1.3718219865964864e-05,-0.00013713626071485628
35.417,0.031584720098030455,0.0007615390401669766,0.07499999967331739,-1.3752749641427607e-07,-1.4621418071366224e-11,0.00014747481611243293,0.9999999891255799,0.0012442542803809814,-6.382703191796616e-05,0.0002818995924153044
35.437,0.03159388683817146,0.0007622065066939365,0.07499999961371134,-1.037146353638297e-07,5.68258761529925e-09,0.00014666913118272076,0.9999999892440775,0.0011776408210356917,4.8399303101665744e-05,-0.000167014482052041
35.458,0.031613576816883246,0.0007625489738504279,0.07499999771983866,-3.513627176009648e-08,5.477987617540757e-09,0.00014695520754557878,0.9999999892020828,-1.6944063287722792e-06,6.03268618275646e-05,-4.287514781363796e-05
35.477,0.03163872928601849,0.0007628822889580261,0.07499999974233845,-1.9275521977682038e-08,4.9287891700429326e-11,0.00014759382796086576,0.9999999891080309,0.0004992935427833911,2.3724889184985094e-05,-0.00012103645798646036
35.497,0.03165170037364279,0.0007635885606884676,0.07500000006773987,-1.2333631996538818e-07,1.861995950198347e-08,0.00014678970444445552,0.9999999892263837,0.0010677193163992449,4.5570062982949015e-05,1.4171208213807019e-05
35.517,0.03166655338460842,0.0007639298953663251,0.07499999982403335,-6.445590112369614e-08,-1.3560093024055535e-10,0.0001471523918764663,0.9999999891730846,-3.109499764959905e-06,4.753089101442604e-05,-3.0964440124998374e-05
35.537,0.031692504224088355,0.0007642059410819923,0.07499999964656806,4.0423844018148344e-08,-7.313871364724029e-12,0.00014778339070697395,0.9999999890800338,0.00033331890715196724,-5.674069010866604e-06,0.00018264137318470643
